date,campaign_id,campaign_name,channel,budget,impressions,clicks,ctr,leads,sales,revenue,cpl,cps,romi
2024-03-01,MK001,Весенняя распродажа,Яндекс.Директ,15000,45000,890,1.98,45,12,156000,333,1250,940
2024-03-01,MK002,Новая коллекция,VK Реклама,12000,78000,1560,2.00,67,18,234000,179,667,1850
2024-03-01,MK003,Скидка 30%,Авито,5000,23000,450,1.96,34,15,195000,147,333,3800
2024-03-01,MK004,Ретаргетинг,Яндекс.Директ,8000,12000,340,2.83,28,9,117000,286,889,1363
2024-03-02,MK005,Бренд-кампания,VK Реклама,20000,120000,2400,2.00,89,24,312000,225,833,1460
2024-03-02,MK006,Горящие товары,Авито,3000,15000,320,2.13,25,11,143000,120,273,4667
2024-03-02,MK007,Email рассылка,Email,500,0,0,0,156,34,442000,3,15,88300
2024-03-02,MK008,SMS акция,SMS,2000,0,0,0,45,12,156000,44,167,7700
2024-03-03,MK009,Поиск брендовый,Яндекс.Директ,10000,25000,750,3.00,56,19,247000,179,526,2370
2024-03-03,MK010,Лукалайк аудитория,VK Реклама,15000,95000,1900,2.00,78,21,273000,192,714,1720
2024-03-03,MK011,Топ объявления,Авито,8000,34000,680,2.00,52,23,299000,154,348,3638
2024-03-04,MK012,Ремаркетинг корзина,Яндекс.Директ,5000,8000,240,3.00,34,14,182000,147,357,3540
2024-03-04,MK013,Видео реклама,VK Реклама,25000,200000,3000,1.50,95,28,364000,263,893,1356
2024-03-04,MK014,Премиум размещение,Авито,12000,56000,1120,2.00,78,34,442000,154,353,3583
2024-03-05,MK015,Контекст широкий,Яндекс.Директ,18000,55000,1100,2.00,67,22,286000,269,818,1489
2024-03-05,MK016,Таргет интересы,VK Реклама,10000,65000,1300,2.00,54,15,195000,185,667,1850
2024-03-05,MK017,Объявления авто,Авито,6000,28000,560,2.00,42,18,234000,143,333,3800
2024-03-06,MK001,Весенняя распродажа,Яндекс.Директ,15000,48000,960,2.00,52,15,195000,288,1000,1200
2024-03-06,MK002,Новая коллекция,VK Реклама,12000,82000,1640,2.00,72,20,260000,167,600,2067
2024-03-06,MK003,Скидка 30%,Авито,5000,25000,500,2.00,38,17,221000,132,294,4320
2024-03-07,MK018,Telegram Ads,Telegram,8000,45000,900,2.00,34,8,104000,235,1000,1200
2024-03-07,MK019,Партнёрка,Партнёры,0,0,0,0,89,45,585000,0,0,0
2024-03-07,MK020,Инфлюенсеры,Instagram,30000,150000,4500,3.00,120,35,455000,250,857,1417


















