date,ad_id,title,category,price,views,calls,messages,favorites,sales,revenue,promotion_cost,status
2024-03-01,AV001,iPhone 15 Pro Max 256GB,Телефоны,89990,245,12,8,34,2,179980,500,active
2024-03-01,AV002,MacBook Pro M3 14",Ноутбуки,189990,189,8,5,28,1,189990,800,active
2024-03-01,AV003,Диван угловой серый,Мебель,45000,567,23,15,67,3,135000,300,active
2024-03-02,AV004,Велосипед горный Trek,Спорт,35000,234,9,6,23,1,35000,200,active
2024-03-02,AV005,PlayStation 5,Игры,49990,890,45,32,156,5,249950,600,active
2024-03-02,AV006,Кроссовки Nike Air Max,Одежда,12990,123,4,3,12,2,25980,150,active
2024-03-03,AV007,Холодильник Samsung,Техника,67990,345,18,11,45,2,135980,400,active
2024-03-03,AV008,Детская коляска Bugaboo,Детские товары,78000,156,7,4,19,1,78000,350,active
2024-03-03,AV009,Гитара акустическая Yamaha,Хобби,25000,89,3,2,8,1,25000,100,active
2024-03-04,AV010,Квартира 2-комн аренда,Недвижимость,55000,1234,67,45,234,1,55000,1500,active
2024-03-04,AV011,Toyota Camry 2020,Авто,2100000,567,34,23,89,0,0,2000,active
2024-03-04,AV012,Кофемашина DeLonghi,Техника,34990,234,11,7,34,2,69980,250,active
2024-03-05,AV013,Ноутбук ASUS ROG,Ноутбуки,145000,456,21,14,56,1,145000,700,active
2024-03-05,AV014,Стиральная машина LG,Техника,45990,289,14,9,38,2,91980,300,active
2024-03-05,AV015,Кресло офисное,Мебель,18990,178,6,4,15,3,56970,150,sold
2024-03-06,AV016,Телевизор LG 55",Техника,54990,345,16,10,42,1,54990,350,active
2024-03-06,AV017,Шуба норковая,Одежда,120000,89,4,2,7,0,0,500,active
2024-03-06,AV018,Пылесос Dyson V15,Техника,59990,267,13,8,29,2,119980,300,active
2024-03-07,AV019,iPad Pro 12.9,Планшеты,109990,312,15,9,41,1,109990,450,active
2024-03-07,AV020,Кровать двуспальная,Мебель,35000,234,10,6,22,1,35000,200,active
2024-03-08,AV001,iPhone 15 Pro Max 256GB,Телефоны,89990,312,15,10,45,3,269970,500,active
2024-03-08,AV005,PlayStation 5,Игры,49990,756,38,25,134,4,199960,600,active
2024-03-09,AV003,Диван угловой серый,Мебель,45000,423,19,12,54,2,90000,300,sold
2024-03-09,AV010,Квартира 2-комн аренда,Недвижимость,55000,987,54,38,198,1,55000,1500,active
2024-03-10,AV021,AirPods Pro 2,Аксессуары,24990,456,22,14,67,5,124950,200,active
2024-03-10,AV022,Робот-пылесос Xiaomi,Техника,29990,289,12,8,31,3,89970,250,active
2024-03-11,AV023,Монитор Samsung 27",Техника,32990,234,11,7,25,2,65980,200,active
2024-03-11,AV024,Фотоаппарат Canon EOS,Фото,89990,145,6,4,18,1,89990,400,active
2024-03-12,AV025,Беговая дорожка,Спорт,45000,178,8,5,21,1,45000,300,active


















