date,sku,product_name,category,stock_qty,min_stock,received,sold,written_off,unit_cost,unit_price,warehouse
2024-03-01,SKU001,iPhone 15 Pro,Смартфоны,45,10,20,8,0,75000,89990,Склад-1
2024-03-01,SKU002,Samsung Galaxy S24,Смартфоны,32,10,15,5,0,65000,79990,Склад-1
2024-03-01,SKU003,MacBook Pro M3,Ноутбуки,12,5,5,2,0,150000,189990,Склад-1
2024-03-01,SKU004,AirPods Pro 2,Аксессуары,89,20,50,23,2,18000,24990,Склад-2
2024-03-01,SKU005,Чехол iPhone силикон,Аксессуары,234,50,100,45,5,200,990,Склад-2
2024-03-02,SKU006,iPad Pro 12.9,Планшеты,18,5,10,3,0,85000,109990,Склад-1
2024-03-02,SKU007,Apple Watch Series 9,Часы,28,10,15,7,0,35000,44990,Склад-1
2024-03-02,SKU008,Кабель Lightning,Аксессуары,456,100,200,78,12,150,590,Склад-2
2024-03-02,SKU009,Зарядка MagSafe,Аксессуары,67,20,30,15,1,2500,4990,Склад-2
2024-03-03,SKU010,PlayStation 5,Игры,8,3,5,4,0,45000,54990,Склад-1
2024-03-03,SKU011,Xbox Series X,Игры,6,3,3,2,0,42000,49990,Склад-1
2024-03-03,SKU012,Nintendo Switch OLED,Игры,15,5,10,4,0,28000,34990,Склад-1
2024-03-04,SKU013,Dyson V15,Пылесосы,9,3,5,2,0,48000,59990,Склад-3
2024-03-04,SKU014,iRobot Roomba,Пылесосы,12,5,8,3,0,35000,44990,Склад-3
2024-03-04,SKU015,Xiaomi Robot Vacuum,Пылесосы,23,10,15,6,1,22000,29990,Склад-3
2024-03-05,SKU001,iPhone 15 Pro,Смартфоны,52,10,15,8,0,75000,89990,Склад-1
2024-03-05,SKU004,AirPods Pro 2,Аксессуары,98,20,35,26,0,18000,24990,Склад-2
2024-03-06,SKU016,Sony WH-1000XM5,Наушники,34,10,20,8,0,25000,34990,Склад-2
2024-03-06,SKU017,Bose QuietComfort,Наушники,21,10,10,5,0,28000,39990,Склад-2
2024-03-07,SKU018,DJI Mini 3 Pro,Дроны,7,2,3,1,0,65000,84990,Склад-1
2024-03-07,SKU019,GoPro Hero 12,Камеры,14,5,8,3,0,35000,44990,Склад-1
2024-03-08,SKU020,Samsung TV 55",Телевизоры,11,3,5,2,0,42000,54990,Склад-3
2024-03-08,SKU021,LG TV 65",Телевизоры,8,3,4,1,0,58000,74990,Склад-3
2024-03-09,SKU002,Samsung Galaxy S24,Смартфоны,38,10,12,6,0,65000,79990,Склад-1
2024-03-09,SKU005,Чехол iPhone силикон,Аксессуары,267,50,80,47,0,200,990,Склад-2
2024-03-10,SKU022,Kindle Paperwhite,Ридеры,25,10,15,5,0,12000,16990,Склад-2
2024-03-10,SKU023,Электросамокат Xiaomi,Транспорт,9,3,5,2,0,35000,44990,Склад-3
2024-03-11,SKU024,Кофемашина DeLonghi,Техника,6,2,3,1,0,28000,34990,Склад-3
2024-03-11,SKU025,Микроволновка Samsung,Техника,18,5,10,3,0,8000,12990,Склад-3
2024-03-12,SKU003,MacBook Pro M3,Ноутбуки,14,5,4,2,0,150000,189990,Склад-1


















