date,time,order_id,item,category,quantity,price,cost,table_number,waiter,payment_method
2024-03-01,09:15,ORD001,Капучино,Кофе,2,290,85,5,Анна,Карта
2024-03-01,09:15,ORD001,Круассан,Выпечка,2,180,45,5,Анна,Карта
2024-03-01,09:32,ORD002,Американо,Кофе,1,220,70,3,Мария,Наличные
2024-03-01,10:05,ORD003,Латте,Кофе,3,320,90,8,Анна,Карта
2024-03-01,10:05,ORD003,Чизкейк,Десерты,2,350,120,8,Анна,Карта
2024-03-01,10:45,ORD004,Завтрак Английский,Завтраки,2,590,180,2,Дмитрий,Карта
2024-03-01,11:20,ORD005,Борщ,Супы,3,380,95,6,Мария,Наличные
2024-03-01,11:20,ORD005,Хлеб,Выпечка,3,50,15,6,Мария,Наличные
2024-03-01,12:00,ORD006,Стейк Рибай,Горячее,2,1290,450,1,Дмитрий,Карта
2024-03-01,12:00,ORD006,Салат Цезарь,Салаты,2,420,130,1,Дмитрий,Карта
2024-03-01,12:00,ORD006,Вино красное,Напитки,1,890,320,1,Дмитрий,Карта
2024-03-01,12:45,ORD007,Паста Карбонара,Горячее,4,490,140,4,Анна,Карта
2024-03-01,13:15,ORD008,Бизнес-ланч,Ланчи,8,390,120,7,Мария,Карта
2024-03-01,14:00,ORD009,Тирамису,Десерты,3,390,110,9,Дмитрий,Наличные
2024-03-01,14:00,ORD009,Эспрессо,Кофе,3,180,55,9,Дмитрий,Наличные
2024-03-01,15:30,ORD010,Раф кофе,Кофе,2,350,100,3,Анна,Карта
2024-03-02,09:00,ORD011,Овсянка,Завтраки,2,290,70,5,Мария,Карта
2024-03-02,09:00,ORD011,Свежевыжатый сок,Напитки,2,320,90,5,Мария,Карта
2024-03-02,09:45,ORD012,Яйца Бенедикт,Завтраки,3,490,150,2,Анна,Карта
2024-03-02,10:30,ORD013,Капучино,Кофе,4,290,85,8,Дмитрий,Наличные
2024-03-02,11:15,ORD014,Том Ям,Супы,2,520,160,6,Мария,Карта
2024-03-02,12:00,ORD015,Бургер Классик,Горячее,5,590,180,1,Анна,Карта
2024-03-02,12:00,ORD015,Картофель фри,Гарниры,5,220,50,1,Анна,Карта
2024-03-02,12:30,ORD016,Пицца Маргарита,Пицца,2,650,190,4,Дмитрий,Карта
2024-03-02,13:00,ORD017,Бизнес-ланч,Ланчи,12,390,120,7,Мария,Карта
2024-03-02,14:30,ORD018,Наполеон,Десерты,4,320,90,9,Анна,Наличные
2024-03-02,15:00,ORD019,Мохито безалк,Напитки,3,390,80,3,Дмитрий,Карта
2024-03-03,09:20,ORD020,Сырники,Завтраки,3,350,100,5,Мария,Карта
2024-03-03,10:00,ORD021,Флэт Уайт,Кофе,2,340,95,2,Анна,Карта
2024-03-03,11:30,ORD022,Греческий салат,Салаты,4,380,110,8,Дмитрий,Наличные
2024-03-03,12:15,ORD023,Лосось на гриле,Горячее,3,890,320,1,Мария,Карта
2024-03-03,13:00,ORD024,Бизнес-ланч,Ланчи,15,390,120,7,Анна,Карта
2024-03-03,14:00,ORD025,Шоколадный фондан,Десерты,2,420,140,6,Дмитрий,Карта
2024-03-03,15:30,ORD026,Латте,Кофе,5,320,90,4,Мария,Карта
2024-03-03,16:00,ORD027,Панна Котта,Десерты,3,350,100,9,Анна,Наличные


















